timestamps(s),penetration_AV,flow(veh/hr),speed(mph)
20.0,0.529411764706,3060.0,71.1810391156
40.0,0.5,3600.0,68.7983328607
60.0,0.555555555556,3240.0,65.7538328891
80.0,0.555555555556,3240.0,65.4278234963
100.0,0.588235294118,3060.0,67.2030859325
120.0,0.555555555556,3240.0,71.7759724623
140.0,0.470588235294,3060.0,69.7576551803
160.0,0.5,3240.0,68.7364073114
180.0,0.578947368421,3420.0,66.2298983997
200.0,0.545454545455,3960.0,68.0935885554
220.0,0.4375,2880.0,65.7715267543
240.0,0.6,3600.0,71.1272235994
260.0,0.444444444444,3240.0,64.7721265565
280.0,0.555555555556,3240.0,71.3028326517
300.0,0.526315789474,3420.0,67.3666829817
320.0,0.636363636364,3960.0,68.2274863169
340.0,0.7,3600.0,72.0610071895
360.0,0.681818181818,3960.0,71.75783332
380.0,0.636363636364,3960.0,69.3821926986
400.0,0.636363636364,3960.0,69.6874042222
420.0,0.619047619048,3780.0,70.7611636451
440.0,0.75,3600.0,66.8538296661
460.0,0.631578947368,3420.0,70.4627811233
480.0,0.666666666667,3780.0,72.0469177115
500.0,0.666666666667,3780.0,75.1832509864
520.0,0.6,3600.0,69.2105403741
540.0,0.684210526316,3420.0,73.3178695651
560.0,0.684210526316,3420.0,71.6217982213
580.0,0.666666666667,4320.0,71.4795270398
600.0,0.722222222222,3240.0,70.136595788
620.0,0.526315789474,3420.0,75.4810679585
640.0,0.444444444444,3240.0,67.1305356002
660.0,0.35,3600.0,73.0351339277
680.0,0.277777777778,3240.0,69.1781616304
700.0,0.333333333333,3240.0,66.6095276421
720.0,0.388888888889,3240.0,64.4966063956
740.0,0.380952380952,3780.0,69.1770075658
760.0,0.47619047619,3780.0,69.7111271998
780.0,0.47619047619,3780.0,70.4589531998
800.0,0.473684210526,3420.0,66.3368703924
820.0,0.4,3600.0,71.0106578371
840.0,0.428571428571,3780.0,68.0980316818
860.0,0.5,3600.0,73.6324687436
880.0,0.421052631579,3420.0,65.538964405
900.0,0.526315789474,3420.0,69.8328882534
920.0,0.636363636364,3960.0,71.8590313836
940.0,0.6,3600.0,66.1476977877
960.0,0.666666666667,3780.0,64.4799140392
980.0,0.578947368421,3420.0,71.5994738179
1000.0,0.65,3600.0,70.3496251354
1020.0,0.619047619048,3780.0,66.407214964
1040.0,0.619047619048,3780.0,67.0963323222
1060.0,0.666666666667,3780.0,68.5271692352
1080.0,0.636363636364,3960.0,69.6440592559
1100.0,0.65,3600.0,71.4324900726
1120.0,0.666666666667,3780.0,73.2079781213
1140.0,0.6,3600.0,67.20502745
1160.0,0.55,3600.0,71.5747187442
1180.0,0.55,3600.0,72.7446113964
1200.0,0.65,3600.0,67.1233197384
1220.0,0.1875,2880.0,66.5890827204
1240.0,0.166666666667,3240.0,70.1340025258
1260.0,0.277777777778,3240.0,64.4744409677
1280.0,0.176470588235,3060.0,68.2173104824
1300.0,0.388888888889,3240.0,65.7114948504
1320.0,0.105263157895,3420.0,68.3541342929
1340.0,0.0,2880.0,71.8694352654
1360.0,0.0,2880.0,68.617370237
1380.0,0.0,3240.0,68.9010320309
1400.0,0.0,2880.0,71.1870592348
1420.0,0.0,3240.0,70.2081467564
1440.0,0.0,2880.0,72.051479876
1460.0,0.0588235294118,3060.0,67.4216511731
1480.0,0.0,2880.0,64.9140216116
1500.0,0.0555555555556,3240.0,69.7805955279
1520.0,0.695652173913,4140.0,70.8421891551
1540.0,0.826086956522,4140.0,71.0506165381
1560.0,0.739130434783,4140.0,65.4325263378
1580.0,0.782608695652,4140.0,69.4439921846
1600.0,0.75,4320.0,72.1114297132
1620.0,0.75,4320.0,75.5494212659
1640.0,0.782608695652,4140.0,70.4822225887
1660.0,0.782608695652,4140.0,69.5870842251
1680.0,0.782608695652,4140.0,72.3681898009
1700.0,0.68,4500.0,70.34111214
1720.0,0.818181818182,3960.0,73.6583416405
1740.0,0.75,4320.0,74.6649379273
1760.0,0.75,4320.0,69.2564697804
1780.0,0.782608695652,4140.0,68.856935307
1800.0,0.772727272727,3960.0,71.6784767634
1820.0,0.333333333333,3240.0,67.7284338092
1840.0,0.266666666667,2700.0,67.7637119686
1860.0,0.222222222222,3240.0,71.9023398438
1880.0,0.277777777778,3240.0,68.8444620476
1900.0,0.235294117647,3060.0,66.9753277896
1920.0,0.3125,2880.0,63.4849478143
1940.0,0.277777777778,3240.0,63.5509898686
1960.0,0.25,2880.0,69.0686952154
1980.0,0.222222222222,3240.0,73.3623691809
2000.0,0.176470588235,3060.0,71.0328437677
2020.0,0.294117647059,3060.0,67.4312427764
2040.0,0.25,2880.0,73.4765833648
2060.0,0.235294117647,3060.0,67.2790756512
2080.0,0.294117647059,3060.0,68.0214942928
2100.0,0.176470588235,3060.0,67.0652041248
2120.0,0.625,4320.0,71.6115119074
2140.0,0.7,3600.0,73.0299798301
2160.0,0.666666666667,4320.0,73.1066550447
2180.0,0.681818181818,3960.0,71.2910944422
2200.0,0.681818181818,3960.0,71.2146706014
2220.0,0.666666666667,3780.0,68.2482784354
2240.0,0.714285714286,3780.0,72.801077155
2260.0,0.652173913043,4140.0,71.5894168194
2280.0,0.65,3600.0,69.4261822498
2300.0,0.666666666667,3780.0,69.8487109959
2320.0,0.681818181818,3960.0,70.0587571819
2340.0,0.681818181818,3960.0,73.9179150955
2360.0,0.681818181818,3960.0,72.9797608395
2380.0,0.681818181818,3960.0,73.8213730095
2400.0,0.681818181818,3960.0,73.5522062387
2420.0,0.611111111111,3240.0,69.2048206242
2440.0,0.611111111111,3240.0,68.7290931459
2460.0,0.526315789474,3420.0,67.9777428019
2480.0,0.588235294118,3060.0,67.3949565888
2500.0,0.578947368421,3420.0,72.5793245714
2520.0,0.473684210526,3420.0,72.6378599053
2540.0,0.555555555556,3240.0,69.2519742472
2560.0,0.555555555556,3240.0,70.0148469909
2580.0,0.625,2880.0,71.9857847635
2600.0,0.611111111111,3240.0,71.8033825029
2620.0,0.555555555556,3240.0,68.2059604155
2640.0,0.578947368421,3420.0,60.1276990998
2660.0,0.555555555556,3240.0,66.3465571319
2680.0,0.6,3600.0,69.4519792193
2700.0,0.555555555556,3240.0,65.0195824316
2720.0,0.125,2880.0,67.6671006558
2740.0,0.117647058824,3060.0,74.2509629171
2760.0,0.277777777778,3240.0,68.8074626242
2780.0,0.235294117647,3060.0,69.1981205724
2800.0,0.125,2880.0,70.3784617586
2820.0,0.277777777778,3240.0,67.5383465724
2840.0,0.117647058824,3060.0,64.8605006381
2860.0,0.0588235294118,3060.0,67.5087807027
2880.0,0.0,2880.0,70.957620836
2900.0,0.111111111111,3240.0,65.1670142886
2920.0,0.0,2880.0,68.9291719417
2940.0,0.0,3240.0,70.1382770602
2960.0,0.0625,2880.0,67.2749133457
2980.0,0.0,2880.0,71.9101105587
3000.0,0.0,3060.0,72.1015251431
3020.0,0.25,2880.0,67.3757014072
3040.0,0.0,3240.0,67.73746751
3060.0,0.0625,2880.0,70.8223114317
3080.0,0.0588235294118,3060.0,73.0011588207
3100.0,0.0,2880.0,70.9910380581
3120.0,0.0588235294118,3060.0,70.6657366368
3140.0,0.0,3240.0,71.7988876138
3160.0,0.0588235294118,3060.0,72.8902283147
3180.0,0.0666666666667,2700.0,69.4771135111
3200.0,0.0,2880.0,72.5100339083
3220.0,0.0588235294118,3060.0,70.9874238658
3240.0,0.111111111111,3240.0,71.8882489153
3260.0,0.0588235294118,3060.0,67.8763974035
3280.0,0.117647058824,3060.0,71.1714766027
3300.0,0.0625,2880.0,64.7998189284
3320.0,0.0625,2880.0,66.3416557236
3340.0,0.176470588235,3060.0,66.6322600388
3360.0,0.166666666667,3240.0,68.6029488091
3380.0,0.235294117647,3060.0,68.3730059051
3400.0,0.117647058824,3060.0,68.9250742983
3420.0,0.166666666667,3240.0,66.9396814421
3440.0,0.117647058824,3060.0,65.5713217902
3460.0,0.176470588235,3060.0,72.1287137865
3480.0,0.117647058824,3060.0,68.6114774869
3500.0,0.235294117647,3060.0,73.7639765092
3520.0,0.166666666667,3240.0,66.9556837416
3540.0,0.176470588235,3060.0,68.1128192873
3560.0,0.125,2880.0,67.3063371876
3580.0,0.1875,2880.0,69.6794673018
3600.0,0.176470588235,3060.0,69.8326789714
